DISTRICTS NAME
AGAR-MALWA
Alirajpur
Anuppur
AshokNagar
Balaghat
Barwani
Betul
Bhind
Bhopal
Burhanpur
Chhatarpur
Chhindwara
Damoh
Datia
Dewas
Dhar
Dindori
Guna
Gwalior
Harda
Indore
Jabalpur
Jhabua
Katni
Khandwa
Khargone
Mandla
Mandsaur
Mauganj
Morena
Narmadapuram
Narsinghpur
Neemuch
Niwari
Panna
Raisen
Rajgarh
Ratlam
Rewa
Sagar
Satna
Sehore
Seoni
Shahdol
Shajapur
Sheopur
Shivpuri
Sidhi
Singrouli
Tikamgarh
Ujjain
Umaria
Vidisha
BHOPAL
CHAMBAL
GWALIOR
INDORE
JABALPUR
NARMADAPURAM
REWA
SAGAR
SHAHDOL
UJJAIN
