DISTRICTS NAME
adilabad
hyderabad
jagtial
jangaon
Jayashankar Bhupalpally
Jogulamba Gadwal
kamareddy
karimnagar
khammam
Bhadradri Kothagudem
Kumuram Bheem Asifabad
mahabubnagar
mahabubabad
mancherial
medak
medchal malkajgiri
mulugu
nagarkurnool
nalgonda
narayanpet
nirmal
nizamabad
peddapalli
rajanna sircilla
rangareddy
sangareddy
siddipet
suryapet
vikarabad
wanaparthy
Hanumakonda
Warangal
yadadri bhuvanagiri
