DISTRICTS NAME
North 24 Parganas
South 24 Parganas
Bankura
Birbhum
CoochBihar
Dakshin Dinajpur    
Darjeeling
Hooghly
Howrah
Jalpaiguri
Jhargram
Kalimpong
Kolkata
Malda
Murshidabad
Nadia
Paschim Burdwan
Purba Burdwan
Purba Medinipur
Purulia
Uttar Dinajpur 
Alipurduar
