DISTRICTS NAME
Cachar
Hailakandi
Karimganj
Dima Hasao
East Karbi Anglong
West Karbi Anglong
Morigaon
Nagaon
Baksa
Barpeta
Bongaigaon
Chirang
Dhubri
Goalpara
Nalbari
Kamrup Metropolitan
Kamrup Rural
Kokrajhar
South Salmara-Mankachar
Darrang
Sonitpur
Udalguri
Charaideo
Dhemaji
Dibrugarh
Golaghat
Jorhat
Lakhimpur
Majuli Sivasagar
Tinsukia
