DISTRICTS NAME
East Khasi Hills 
West Khasi Hills 
South Khasi Hills 
Ri Bhoi District
West Jaintia Hills District
East Jaintia Hills District
West Garo Hills District
North Garo Hills District
South West Garo Hills District
Eastern West Khasi Hills District
