DISTRICTS NAME
Ariyalur
Chengalpattu
Chennai
Coimbatore
Cuddalore
Dharmapuri
Dindigul
Erode
kallakurichi
Kancheepuram
Kanniyakumari
Karur
Krishnagiri
Madurai
Mayiladuthurai
Nagapattinam
Namakkal
Nilgiris
Perambalur
Pudukkottai
Ramanathapuram
Ranipet
Salem
Sivaganga
Tenkasi
Thanjavur
Theni
Thoothukudi
Tiruchirappalli
Tirunelveli
Tirupathur
Tiruppur
Tiruvallur
Tiruvannamalai
Tiruvarur
Vellore
Viluppuram
Virudhunagar
