DISTRICTS NAME
Amritsar
Barnala
bathinda
faridkot
Fatehgarh Sahib
fazilka
ferozepur
gurdaspur
hoshiarpur
jalandhar
kapurthala
ludhiana
malerkotla
mansa
moga
SAS NAGAR
Sri Muktsar Sahib
SBS Nagar
Pathankot
Patiala
rupnagar
sangrur
Tarn Taran
