DISTRICTS NAME
ahmedabad
amreli
anand
arvalli
banaskantha
bharuch
bhavnagar
botad
chhotaudepur
dahod
devbhumi dwarka
gandhinagar
gir somnath
jamnagar
junagadh
kachchh
kheda
mahesana
mahisagar
morbi
narmada
navsari
panchmahals
patan
porbandar
rajkot
sabarkantha
surat
surendranagar
tapi
Dang
vadodara
Valsad
